slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
83,13:50,0.9026,5696.9182,6607.36,949.4863666666666,1101.2266666666665,0.0,0.0,151.74029999999982,0.0,10550.043465,10413.477195000001,0.0,151.74029999999982,136.56626999999983,0.0,0.0,0.0,136.56626999999983
84,14:00,0.9754,5692.2983,6412.5085,948.7163833333334,1068.7514166666665,0.0,0.0,120.0350333333331,0.0,10658.074995,10550.043465,0.0,120.0350333333331,108.03152999999979,0.0,0.0,0.0,108.03152999999979
85,14:10,1.0002,5687.1291,6214.0158,947.8548499999999,1035.6693,0.0,0.0,87.81445000000008,0.0,10737.108,10658.074995,0.0,87.81445000000008,79.03300500000007,0.0,0.0,0.0,79.03300500000007
86,14:20,0.9978,5678.962,6000.7112,946.4936666666667,1000.1185333333333,0.0,0.0,53.62486666666655,0.0,10785.37038,10737.108,0.0,53.62486666666655,48.262379999999894,0.0,0.0,0.0,48.262379999999894
87,14:30,1.0271,5669.4508,5766.9816,944.9084666666665,961.1636,0.0,0.0,16.255133333333447,0.0,10800.0,10785.37038,0.0,16.255133333333447,14.629620000000102,0.0,0.0,0.0,14.629620000000102
88,14:40,1.0906,5664.1948,5521.5066,944.0324666666667,920.2511,0.0,0.0,0.0,23.781366666666713,10773.57625925926,10800.0,0.0,0.0,0.0,26.42374074074079,0.0,0.0,26.42374074074079
89,14:50,0.9376,5672.7011,5268.781,945.4501833333334,878.1301666666666,0.0,0.0,0.0,67.32001666666679,10698.77624074074,10773.57625925926,0.0,0.0,0.0,74.80001851851866,0.0,0.0,74.80001851851866
90,15:00,0.6694,5682.2544,5009.7152,947.0423999999999,834.9525333333332,0.0,112.0898666666667,0.0,0.0,10698.77624074074,10698.77624074074,112.0898666666667,0.0,0.0,0.0,0.0,75.03295674666668,0.0
91,15:10,0.66,5669.0195,4743.4484,944.8365833333334,790.5747333333334,112.47084362139908,154.26184999999998,0.0,0.0,10800.0,10698.77624074074,266.73269362139905,112.47084362139908,101.22375925925918,0.0,0.0,176.04357779012338,101.22375925925918
92,15:20,0.7217,5656.3651,4471.224,942.7275166666666,745.204,0.0,197.52351666666664,0.0,0.0,10800.0,10800.0,197.52351666666664,0.0,0.0,0.0,0.0,142.55272197833332,0.0
